,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3065,33495,2016,3,6,27000,clean,automatic,4wd,full-size,42.069349,-76.122861,53.0
3066,8900,2010,2,8,142774,clean,automatic,4wd,full-size,28.079232,-80.674959,65.0
3068,25423,2014,3,8,96551,clean,automatic,4wd,mid-size,30.43955,-91.08613000000001,67.0
3069,21988,2014,2,6,110107,clean,automatic,4wd,full-size,36.137597,-86.761799,59.0
3070,34900,2016,3,8,18800,lien,automatic,4wd,full-size,43.2297,-123.2343,50.0
3073,6500,2004,4,8,175000,salvage,automatic,4wd,full-size,48.4786,-122.3345,50.0
3074,12488,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
3076,32000,2013,3,6,83000,clean,automatic,4wd,full-size,32.289715,-93.687973,67.0
3077,21990,2015,3,6,100515,clean,automatic,rwd,full-size,32.74633499999999,-96.988549,67.0
3078,1250,2001,1,8,174000,clean,automatic,4wd,full-size,40.686003,-74.839863,52.0
3079,23995,2014,3,8,61430,clean,automatic,4wd,full-size,42.032203,-91.611698,47.0
3081,21990,2014,3,8,96079,clean,automatic,4wd,full-size,43.154058,-75.931063,53.0
3082,27990,2016,2,6,22895,clean,automatic,4wd,full-size,45.978572,-94.34201800000001,43.0
3084,4000,2000,2,8,174000,clean,automatic,4wd,full-size,39.058,-78.1105,55.0
3085,17370,2013,2,6,105706,clean,automatic,rwd,full-size,32.427868,-86.467649,61.0
3086,25995,2017,3,6,7427,salvage,automatic,4wd,full-size,42.636721,-85.284741,45.0
3087,9900,2005,3,8,0,clean,automatic,4wd,full-size,32.252974,-110.97871,71.0
3088,21995,2013,2,6,107739,clean,automatic,4wd,full-size,41.686718,-86.012028,48.0
3089,18550,2011,3,6,129594,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
3090,27700,2013,4,6,97000,clean,automatic,4wd,full-size,36.3301,-78.3981,56.0
3092,14996,2007,3,8,108951,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
3093,6800,2005,2,8,153500,clean,automatic,4wd,full-size,40.678059,-82.601174,49.0
3095,20500,2013,3,8,113800,clean,automatic,4wd,full-size,44.27107700000001,-85.403669,45.0
3096,29780,2015,2,8,76711,clean,automatic,4wd,full-size,39.019586,-94.574291,52.0
3097,29000,2014,3,3,33000,lien,automatic,4wd,full-size,33.745753,-87.08295799999999,61.0
3099,18995,2010,2,8,113256,clean,automatic,4wd,full-size,39.733601,-94.828925,52.0
3100,7500,2004,4,8,294686,clean,automatic,4wd,full-size,39.044586,-94.668267,51.0
3102,21995,2011,2,8,128156,clean,automatic,4wd,full-size,34.947213,-89.44095300000001,61.0
3103,7495,2006,2,8,153000,clean,automatic,4wd,full-size,30.4034,-81.7635,65.0
3104,21490,2013,3,8,64412,rebuilt,automatic,4wd,full-size,44.409554,-89.880342,45.0
3105,25000,2014,2,6,90005,clean,automatic,4wd,full-size,35.01845,-85.204983,59.0
3106,2998,1999,2,6,103972,clean,automatic,rwd,full-size,42.3899,-122.9222,50.0
3108,21000,2013,3,6,75000,clean,automatic,4wd,full-size,41.8967,-93.4001,47.0
3109,16900,2014,2,8,161236,clean,automatic,4wd,full-size,36.644835,-93.218011,52.0
3111,11950,2007,3,8,77533,clean,automatic,4wd,full-size,37.286501,-80.056719,55.0
3113,4500,2006,4,6,237000,clean,manual,rwd,full-size,29.899091,-81.332903,65.0
3114,31500,2017,3,6,7105,clean,automatic,rwd,mid-size,34.74851,-77.41559000000001,56.0
3115,15993,2011,3,6,152706,clean,automatic,rwd,full-size,38.052548,-85.676488,50.0
3116,5500,2004,2,8,148307,lien,automatic,fwd,full-size,36.3551,-119.301,59.0
3117,35900,2015,3,8,44000,clean,automatic,4wd,full-size,48.0215,-114.2266,40.0
3118,6000,1997,3,8,100000,clean,automatic,4wd,full-size,32.7093,-114.4905,71.0
3119,11880,2008,3,8,162820,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
